term,regex,class,notes
YKL40,(?:(?i)\b(YKL-?40|CHI3L1|chitinase[-\s]?3[-\s]?like\s*1)\b)|(?:(?i)(chitinase\s*3\s*like\s*1|HCgp-39)),biomarker,inflammation/repair; merged_var_regex
VCAM1,(?:(?i)\b(VCAM-?1|vascular\s*cell\s*adhesion\s*molecule\s*1)\b)|(?:(?i)(vascular\s*cell\s*adhesion\s*molecule)),biomarker,endothelial activation; merged_var_regex
ICAM1,(?:(?i)\b(ICAM-?1|intercellular\s*adhesion\s*molecule\s*1)\b)|(?:(?i)(intercellular\s*adhesion\s*molecule)),biomarker,endothelial activation; merged_var_regex
ADMA,"(?:(?i)\b(asymmetric\s*dimethylarginine|\bADMA\b)\b)|(?:(?i)(asymmetric\s*N\s*,?\s*N\s*-?dimethylarginine))",biomarker,endothelial dysfunction; merged_var_regex
HE4,(?:(?i)\b(HE4|WFDC2|human\s*epididymis\s*protein\s*4)\b)|(?:(?i)(human\s*epididymis\s*protein\s*4|WFDC\s*2)),biomarker,epithelial secretory; merged_var_regex
anti_HSP90cit,"(?i)(auto)?antibod(?:y|ies).{0,15}(citrullinated\s*)?HSP\s*90",biomarker,RA-ILD specific autoantibody
CTGF_CCN2,(?:(?i)\b(CTGF|CCN2|connective\s*tissue\s*growth\s*factor)\b)|(?:(?i)(connective\s*tissue\s*growth\s*factor|CCN\s*2)),molecular,matricellular; merged_var_regex
WNT_beta_catenin,(?:(?i)\b(WNT|beta[-\s]?catenin|CTNNB1)\b)|(?:(?i)(WNT/β?-?catenin|canonical\s*WNT)),molecular,developmental; merged_var_regex
PAI1_SERPINE1,(?:(?i)\b(PAI-?1|SERPINE1|plasminogen\s*activator\s*inhibitor\s*1)\b)|(?:(?i)(SERPINE\s*1|plasminogen\s*activator\s*inhibitor\s*1)),molecular,fibrinolysis; merged_var_regex
Endothelin1,(?:(?i)\b(endothelin[-\s]?1|\bEDN1\b)\b)|(?:(?i)(ET-?1|preproendothelin)),molecular,vasoactive profibrotic; merged_var_regex
SPP1_osteopontin,(?:(?i)\b(osteopontin|SPP1)\b)|(?:(?i)(secreted\s*phosphoprotein\s*1)),molecular,profibrotic; merged_var_regex
Galectin3,(?:(?i)\b(galectin-?3|LGALS3)\b)|(?:(?i)(LGALS\s*3|Mac-2)),molecular,profibrotic; merged_var_regex
Periostin,(?:(?i)\b(periostin|POSTN)\b)|(?:(?i)(POSTN)),molecular,matrix; merged_var_regex
CC16_SCGB1A1,(?:(?i)\b(CC16|club\s*cell\s*secretory\s*protein|SCGB1A1)\b)|(?:(?i)(club\s*cell\s*protein\s*16|uteroglobin)),biomarker,airway epithelium; merged_var_regex
SP_A,(?:(?i)\b(SP-?A|surfactant\s*protein\s*A|SFTPA1|SFTPA2)\b)|(?:(?i)(surfactant\s*protein\s*A|SFTPA\s*1|SFTPA\s*2)),biomarker,alveolar epithelium; merged_var_regex
neutrophil_cell,(?i)\b(neutrophil[s]?)\b,cell,innate
Th17_cell,(?i)\b(Th17)\b,cell,adaptive
Treg_cell,(?i)\b(Treg[s]?|regulatory\s*T\s*cell[s]?)\b,cell,adaptive
B_cell,(?i)\b(B\s*cell[s]?|CD19\+|CD20\+)\b,cell,adaptive
M2_macrophage,(?i)\b(M2[-\s]?macrophage[s]?|CD163\+|CD206\+)\b,cell,repair/profibrotic
fibrocyte_cell,(?i)\b(fibrocyte[s]?)\b,cell,stromal precursor
iBALT_TLS,(?i)\b(iBALT|inducible\s+bronchus[-\s]?associated\s+lymphoid\s+tissue|tertiary\s+lymphoid\s+(structure|follicle)s?)\b,cell,ectopic lymphoid
Cytokine_inflammation,(?i)(IL[-\s]?(1|6|10|17|18|23)|TNF|IFN|TGF|CXCL|CCL),molecular,aggregated cytokine signature
Fibrosis_pathway,(?i)(TGF|Smad|α\s*SMA|collagen|fibronectin|periostin|CTGF|MMP|YAP|TAZ),molecular,fibrosis signaling
Immune_checkpoint,(?i)(PD[-\s]?1|PD[-\s]?L1|CTLA|TIM3|LAG3),molecular,checkpoint molecules
Nrf2_KEAP1,(?:(?i)\b(NRF2|NFE2L2)\b|\bKEAP1\b)|(?:\bARE\b|(?i)\b(Nrf2\s*pathway|antioxidant\s*response\s*element)\b),molecular,oxidative-stress response master regulator; merged_var_regex
Nrf2_KEAP1_var,(?i)\b(Nrf2\s*pathway|antioxidant\s*response\s*element)\b,molecular,antioxidant response (no ARE token)
Oxidative_stress_pathway,(?i)(NRF2|NFE2L2|KEAP1|\bGPX\b|\bSOD\b|catalase|\bMPO\b|\bROS\b|oxidative\s+stress|oxidant\s+stress|\b4HNE\b|\b8OHdG\b|\bMDA\b),molecular,ROS/oxidative stress signature (word-bounded)
FVC_decline,(FVC AND decline),outcome,functional outcome
DLCO_decline,(DLCO AND decline),outcome,functional outcome
PPF,(?i)\b(PPF|progressive\s+pulmonary\s+fibrosis)\b,outcome,vNext: PPF terminology
PF_ILD,(?i)\b(PF-?ILD|progressive\s+fibrosing\s+interstitial\s+lung\s+disease)\b,outcome,vNext: PF-ILD terminology
AE_interstitial_pneumonia,(?i)\b(acute\s+exacerbation\s+of\s+interstitial\s+(pneumonia|lung\s+disease))\b,outcome,vNext: AE wording
acute_respiratory_deterioration,(?i)\b(acute\s+respiratory\s+deterioration)\b,outcome,vNext: AE synonym (avoid ARD acronym)
mosaic_attenuation,(?i)\b(mosaic\s+attenuation)\b,radiology,vNext: small airways / ventilation heterogeneity
air_trapping,(?i)\b(air\s+trapping)\b,radiology,vNext: small airways
tree_in_bud,(?i)\b(tree[-\s]?in[-\s]?bud)\b,radiology,vNext: bronchiolitis pattern
follicular_bronchiolitis,(?i)\b(follicular\s+bronchiolitis)\b,airway,vNext: RA-associated airway disease
bronchiolitis,(?i)\b(bronchiolitis)\b,airway,vNext: airway inflammation
PPFE,(?i)\b(PPFE|pleuroparenchymal\s+fibroelastosis)\b,pattern,vNext: fibrosing phenotype
LIP,(?:\bLIP\b|(?i:\blymphocytic\s+interstitial\s+pneumonia\b)),pattern,vNext: lymphoid ILD pattern; v2_patch: uppercase-only acronym; avoids general-word false positives
DAD,(?:\bDAD\b|(?i:\bdiffuse\s+alveolar\s+damage\b)),pattern,vNext: acute lung injury pathology; v2_patch: uppercase-only acronym; avoids general-word false positives
fibroblastic_foci,(?i)\b(fibroblastic\s+foci)\b,pattern,vNext: UIP pathology feature
RB_ILD,(?i)\b(RB-?ILD|respiratory\s+bronchiolitis[-\s]?associated\s+interstitial\s+lung\s+disease)\b,pattern,vNext: smoking-related ILD
DIP,(?:\bDIP\b|(?i:\bdesquamative\s+interstitial\s+pneumonia\b)),pattern,vNext: smoking-related ILD; v2_patch: uppercase-only acronym; avoids general-word false positives
GAP_index,(?i)\b(GAP\s+(index|stage))\b,activity,vNext: prognostic index
CPI_index,(?:\bCPI(?:\s+index)?\b|(?i:\bcomposite\s+physiologic\s+index\b)),activity,vNext: physiologic severity index; v2_patch: uppercase-only acronym with explicit full phrase
respiratory_failure,(?i)\b(respiratory\s+failure)\b,outcome,vNext: severe event
LTOT,(?i)\b(long[-\s]?term\s+oxygen\s+therapy|\bLTOT\b)\b,outcome,vNext: oxygen requirement
oxygen_requirement,(?i)\b(oxygen\s+requirement|supplemental\s+oxygen)\b,outcome,vNext: oxygen need
mechanical_ventilation,(?i)\b(mechanical\s+ventilation|intubat(e|ion))\b,outcome,vNext: critical care
ICU_admission,(?i)\b(ICU\s+admission|intensive\s+care\s+unit)\b,outcome,vNext: critical care
disease_duration,(?i)\b(disease\s+duration|duration\s+of\s+rheumatoid\s+arthritis|RA\s+duration)\b,host,vNext: RA duration
GERD,(?i)\b(GERD|gastroesophageal\s+reflux)\b,complication,vNext: comorbidity
COPD,(?:\bCOPD\b|(?i:\bchronic\s+obstructive\s+pulmonary\s+disease\b)|(?i:\bemphysema\b)),complication,vNext: COPD/emphysema spectrum retained under legacy term label; uppercase-only acronym; emphysema-family concept intentionally included
glucocorticoid,(?i)\b(prednisone|prednisolone|glucocorticoid(s)?|corticosteroid(s)?)\b,drug,vNext: steroid therapy
drug_induced_ILD,(?i)\b(?:(?:drug|treatment|therapy|medication)[-\s]?(?:induced|related|associated)\s+(?:interstitial\s+lung\s+disease|ILD|pneumonitis|lung\s+injury|pulmonary\s+toxicity)|(?:methotrexate|MTX|leflunomide|LEF|infliximab|etanercept|adalimumab|golimumab|certolizumab|rituximab|abatacept|tocilizumab)[-\s]?(?:induced|related|associated)\s+(?:interstitial\s+lung\s+disease|ILD|pneumonitis|lung\s+injury|pulmonary\s+toxicity)|(?:anti[-\s]?TNF(?:-\alpha)?|TNF[-\s]?(?:inhibitor|blocker|antagonist|therapy)|biologic(?:al)?\s+agent)[-\s]?(?:induced|related|associated)\s+(?:interstitial\s+lung\s+disease|ILD|pneumonitis|lung\s+injury|pulmonary\s+toxicity)|(?:methotrexate|MTX|leflunomide|LEF)\s+(?:pneumonitis|lung\s+injury)|DI[-\s]?ILD)\b,event,vNext: adverse event / DI-ILD; removed standalone pneumonitis to avoid HP false positives; keeps explicit drug-induced and named-drug-induced ILD/pneumonitis/lung injury
TERC,(?i)\bTERC\b|\btelomerase\s+RNA\s+component\b,gene,vNext-genetics: telomere
RTEL1,(?i)\bRTEL1\b|\bregulator\s+of\s+telomere\s+elongation\b,gene,vNext-genetics: telomere
PARN,(?i)\bPARN\b|\bpoly\(A\)-specific\s+ribonuclease\b,gene,vNext-genetics: telomere
DKC1,(?i)\bDKC1\b|\bdyskerin\b,gene,vNext-genetics: telomere
TINF2,(?i)\bTINF2\b|\bTRF1[-\s]?interacting\s+nuclear\s+factor\s+2\b,gene,vNext-genetics: telomere
POT1,(?i)\bPOT1\b|\bprotection\s+of\s+telomeres\s+1\b,gene,vNext-genetics: telomere
NAF1,(?i)\bNAF1\b|\bNuclear\s+Assembly\s+Factor\s+1\b,gene,vNext-genetics: telomere
SFTPC,(?i)\bSFTPC\b|\bsurfactant\s+protein\s+C\b,gene,vNext-genetics: surfactant
SFTPA1,(?i)\bSFTPA1\b|\bsurfactant\s+protein\s+A1\b,gene,vNext-genetics: surfactant
SFTPA2,(?i)\bSFTPA2\b|\bsurfactant\s+protein\s+A2\b,gene,vNext-genetics: surfactant
SFTPB,(?i)\bSFTPB\b|\bsurfactant\s+protein\s+B\b,gene,vNext-genetics: surfactant
ABCA3,(?i)\bABCA3\b|\bATP[-\s]?binding\s+cassette\s+subfamily\s+A\s+member\s+3\b,gene,vNext-genetics: surfactant
NKX2-1,(?i)\bNKX2-1\b|\bTTF-?1\b|\bthyroid\s+transcription\s+factor\s+1\b,gene,vNext-genetics: surfactant
TOLLIP,(?i)\bTOLLIP\b|\btoll[-\s]?interacting\s+protein\b,gene,vNext-genetics: IPF GWAS
DSP,(?i)\bDSP\b|\bdesmoplakin\b,gene,vNext-genetics: IPF GWAS
DPP9,(?i)\bDPP9\b|\bdipeptidyl\s+peptidase\s+9\b,gene,vNext-genetics: IPF GWAS
AKAP13,(?i)\bAKAP13\b|\bA[-\s]?kinase\s+anchoring\s+protein\s+13\b,gene,vNext-genetics: IPF GWAS
KIF15,(?i)\bKIF15\b|\bkinesin\s+family\s+member\s+15\b,gene,vNext-genetics: IPF GWAS
FAM13A,(?i)\bFAM13A\b|\bfamily\s+with\s+sequence\s+similarity\s+13\s+member\s+A\b,gene,vNext-genetics: IPF GWAS
DEPTOR,(?i)\bDEPTOR\b|\bDEP\s+domain\s+containing\s+mTOR[-\s]?interacting\s+protein\b,gene,vNext-genetics: IPF GWAS/immune-metabolic
ACPA_RF_high2,(?i)(high(ly)?\s+(positive|titer(ed)?)\s+(anti-?CCP|ACPA|RF)|ACPA\s*titers?\s*(>=|>|above)|RF\s*titers?\s*(>=|>|above)),biomarker,serology high-titer alt; added_from_v07_biomarker_nonvar
HMOX1_HO1,(?i)\b(HMOX1|heme\s*oxygenase[-\s]*1|HO-?1)\b,biomarker,stress-inducible enzyme (HO-1); added_from_v07_biomarker_nonvar
F2_isoprostane,(?:(?i)\b(8[-\s]?iso\s*PGF2(?:α|a)?|F2[-\s]?isoprostane(s)?)\b)|(?:(?i)\b(isoprostane(s)?|\bIPF2\b)\b),biomarker,lipid peroxidation marker; added_from_v07_biomarker_nonvar; merged_var_regex
MDA_marker,(?:(?i)\b(malondialdehyde|\bMDA\b)\b)|(?:(?i)\b(TBARS|thiobarbituric\s*acid\s*reactive\s*substances)\b),biomarker,lipid peroxidation; added_from_v07_biomarker_nonvar; merged_var_regex
HNE_4HNE,(?:(?i)\b(4[-\s]?hydroxynonenal|\b4[-\s]?HNE\b)\b)|(?:(?i)\b(HNE[-\s]*adduct(s)?)\b),biomarker,lipid peroxidation adduct; added_from_v07_biomarker_nonvar; merged_var_regex
GSH_GSSG_ratio,(?:(?i)\b(GSH\s*/\s*GSSG|glutathione\s*(reduced|oxidized)|\bGSSG\b)\b)|(?:(?i)\b(total\s*glutathione|oxidized\s*glutathione)\b),biomarker,redox status; added_from_v07_biomarker_nonvar; merged_var_regex
8OHdG,(?:(?i)\b(8[-\s]?OHdG|8[-\s]?oxo[-\s]?dG|8[-\s]?hydroxydeoxyguanosine)\b)|(?:(?i)\b(8[-\s]?oxoG)\b),biomarker,DNA oxidation; added_from_v07_biomarker_nonvar; merged_var_regex
MPO,(?:(?i)\b(myeloperoxidase|\bMPO\b)\b)|(?:(?i)\b(peroxidase\s*activity\b)\b),biomarker,neutrophil enzyme; ROS/NETs axis; added_from_v07_biomarker_nonvar; merged_var_regex
mtDNA_damage,(?i)\b(mitochondrial\s*DNA\s*(damage|oxidation)|mtDNA\s*damage)\b,biomarker,oxidative injury; added_from_v07_biomarker_nonvar
